Was ist das BIP?;Brutto-Inlands-Produkt;Brutto-Inflations-Prozent;Basis-Investitions-Plan;Banken-Interessen-Prozent;Brutto-Inlands-Produkt
Was ist Inflation?;Sinkende Preise;Steigende Preise / Geldentwertung;Steigende Löhne;Wirtschaftswachstum;Steigende Preise / Geldentwertung
Was ist eine Aktie?;Ein Darlehen;Ein Anteil an einem Unternehmen;Ein Kredit;Eine Versicherung;Ein Anteil an einem Unternehmen
Was ist der Unterschied zwischen Angebot und Nachfrage?;Es gibt keinen;Angebot = was verkauft wird, Nachfrage = was gekauft werden will;Nachfrage = Produktion;Angebot = Konsum;Angebot = was verkauft wird, Nachfrage = was gekauft werden will
Was ist ein Monopol?;Viele Anbieter;Ein einziger Anbieter auf dem Markt;Zwei Anbieter;Staatliches Unternehmen;Ein einziger Anbieter auf dem Markt
Was ist eine Rezession?;Wirtschaftswachstum;Mindestens zwei Quartale wirtschaftlicher Rückgang;Hohe Inflation;Niedriger Zinssatz;Mindestens zwei Quartale wirtschaftlicher Rückgang
Was ist der Leitzins?;Die Inflationsrate;Der Zinssatz der Zentralbank;Die Steuerrate;Der Wechselkurs;Der Zinssatz der Zentralbank
Was ist ein ETF?;Ein Einzelaktie;Ein börsengehandelter Fonds;Ein Staatskredit;Eine Währung;Ein börsengehandelter Fonds
Was ist Diversifikation?;Konzentration auf ein Investment;Verteilung des Risikos auf viele Investments;Aktienspekulation;Währungshandel;Verteilung des Risikos auf viele Investments
Was ist das Bruttosozialprodukt?;Nur die Staatsausgaben;Gesamtwert aller Waren und Dienstleistungen der Bürger;Nur Exporteinnahmen;Nur Industrieproduktion;Gesamtwert aller Waren und Dienstleistungen der Bürger
